Date,"('CLOSE', 'IWM')","('HIGH', 'IWM')","('LOW', 'IWM')","('OPEN', 'IWM')","('VOLUME', 'IWM')"
2010-01-04,51.457920,51.506178,50.886881,50.902967,42863900
2010-01-05,51.280991,51.618790,51.063837,51.377507,55523100
2010-01-06,51.232723,51.554434,51.104038,51.280978,59708600
2010-01-07,51.610744,51.650961,50.782335,51.264906,56123500
2010-01-08,51.892250,51.892250,51.313169,51.425768,48811500
2010-01-11,51.683147,52.181798,51.482077,52.101371,51638900
2010-01-12,51.120144,51.602715,50.878857,51.361428,45854900
2010-01-13,51.779648,51.884208,50.854726,51.297080,39501900
2010-01-14,51.972679,52.133533,51.490105,51.586621,41859800
2010-01-15,51.216637,52.117434,50.886881,51.996791,68725100
2010-01-19,52.157661,52.173751,51.409679,51.409679,46839000
2010-01-20,51.401623,51.795722,50.822539,51.787677,62485000
2010-01-21,50.557137,51.860075,50.380194,51.441845,98323100
2010-01-22,49.648308,50.718004,49.205953,50.476717,83757000
2010-01-25,49.704613,49.986113,49.326602,49.929814,62298700
2010-01-26,49.213989,49.889586,49.173776,49.519617,58213200
2010-01-27,49.736786,49.817213,48.827947,48.996845,72565800
2010-01-28,48.884239,49.857422,48.433843,49.833292,93814200
2010-01-29,48.345364,49.616127,48.232765,49.085301,79325600
2010-02-01,48.916412,49.012925,48.385587,48.570571,60731800
2010-02-02,49.455265,49.511564,48.755538,49.004866,71047700
2010-02-03,49.125523,49.567877,48.731423,49.222036,50241000
2010-02-04,47.484779,48.803800,47.444566,48.787714,99167300
2010-02-05,47.669773,47.718031,46.648335,47.589343,106752200
2010-02-08,47.195244,47.935181,47.146986,47.516958,61579200
2010-02-09,47.846714,48.200597,47.251544,47.758243,91986700
2010-02-10,47.959312,48.079953,47.203286,47.701943,55715500
2010-02-11,48.723366,48.755535,47.452600,47.822568,51969700
2010-02-12,49.077255,49.141596,48.104075,48.256888,65909800
2010-02-16,49.905663,49.953921,49.125512,49.591993,50057600
2010-02-17,50.243473,50.356072,49.857418,50.155002,50459400
2010-02-18,50.653660,50.669746,50.066535,50.243478,43072800
2010-02-19,50.718006,50.975376,50.356079,50.460636,56840800
2010-02-22,50.870815,51.031672,50.685831,51.007542,45344900
2010-02-23,50.275650,50.870820,50.130882,50.798434,58965400
2010-02-24,50.701912,50.951237,50.307813,50.460628,50476000
2010-02-25,50.718006,50.766261,49.849380,50.010237,51949700
2010-02-26,50.508873,50.838628,50.235417,50.798415,60093900
2010-03-01,51.683147,51.731402,50.878863,50.878863,70967800
2010-03-02,52.077225,52.398939,51.795727,51.876154,55605300
2010-03-03,52.374805,52.672386,52.101347,52.334589,56207500
2010-03-04,52.511543,52.575887,52.173746,52.390900,47174200
2010-03-05,53.581249,53.661676,52.680452,52.849350,52293900
2010-03-08,53.677773,53.830588,53.500830,53.597346,46046400
2010-03-09,53.870792,54.280972,53.508862,53.524951,70685800
2010-03-10,54.329239,54.610736,53.894926,53.919053,73655200
2010-03-11,54.490067,54.578538,53.806429,53.999454,59964100
2010-03-12,54.465942,54.795695,54.095974,54.771567,61862000
2010-03-15,54.280968,54.538338,53.886871,54.433783,49862700
2010-03-16,54.747444,54.771572,54.160316,54.554418,52874400
2010-03-17,55.069176,55.398928,54.852016,54.868105,53589100
2010-03-18,54.900265,55.318488,54.803749,55.045036,71527500
2010-03-19,54.216629,55.101338,54.015559,54.216629,80546500
2010-03-22,54.980705,55.101349,53.709939,53.830582,56679400
2010-03-23,55.680408,55.696491,54.779611,55.028936,61187700
2010-03-24,55.045048,55.609451,55.028925,55.375627,59664500
2010-03-25,54.698360,55.923917,54.658050,55.528839,66977000
2010-03-26,54.674191,55.286969,54.472619,54.924143,58114700
2010-03-29,54.972504,55.149887,54.674176,54.916064,38646400
2010-03-30,55.141811,55.424010,54.722546,55.061184,35773100
2010-03-31,54.666111,55.480454,54.658046,54.932180,59821600
2010-04-01,55.174084,55.383720,54.335547,55.093456,58838700
2010-04-05,56.206108,56.246425,55.182129,55.319196,52020600
2010-04-06,56.536694,56.673761,55.899728,56.012607,50203600
2010-04-07,56.359291,56.689865,55.996459,56.472170,71418200
2010-04-08,56.302879,56.601201,55.762670,56.198058,54603600
2010-04-09,56.641499,56.649563,56.036785,56.391552,53070100
2010-04-12,56.875340,56.988219,56.536701,56.665704,49301000
2010-04-13,57.004349,57.036601,56.391577,56.754402,42151000
2010-04-14,58.221806,58.221806,57.238137,57.334894,62041600
2010-04-15,58.399220,58.520163,58.125079,58.197648,55141800
2010-04-16,57.617107,58.431457,57.197842,58.246009,93241600
2010-04-19,57.334911,57.867056,56.262551,57.294595,85284600
2010-04-20,58.117020,58.157330,57.391362,57.641308,50736600
2010-04-21,58.520145,58.633025,57.987995,58.213753,60382500
2010-04-22,59.140968,59.253848,57.617091,57.923477,79289500
2010-04-23,59.769909,59.834413,58.568546,59.253887,66271100
2010-04-26,59.544117,60.197212,59.527994,59.802128,62710000
2010-04-27,58.181511,59.858579,58.068625,59.302246,101050200
2010-04-28,58.278278,58.681421,57.988015,58.512102,79762700
2010-04-29,59.511890,59.536078,58.358903,58.713670,68869600
2010-04-30,57.770317,59.608646,57.705813,59.503831,88759100
2010-05-03,59.068428,59.108739,58.100883,58.133135,53775400
2010-05-04,57.213963,58.213754,56.867260,58.205695,105727600
2010-05-05,56.375450,57.205923,55.948120,56.746341,110340400
2010-05-06,54.262951,56.593113,51.086188,55.972270,195388200
2010-05-07,52.698769,54.520974,52.118243,53.787252,189573100
2010-05-10,55.657822,55.682009,54.585462,55.270809,107703400
2010-05-11,56.028713,56.859185,54.811228,54.996670,100027800
2010-05-12,57.746113,57.810611,56.270610,56.318985,84618400
2010-05-13,57.189785,58.133137,56.915645,57.617115,78553600
