Date,"('CLOSE', 'USO')","('HIGH', 'USO')","('LOW', 'USO')","('OPEN', 'USO')","('VOLUME', 'USO')"
2010-01-04,322.160004,322.399994,318.959991,320.320007,1426038
2010-01-05,323.279999,323.600006,319.440002,322.000000,1306275
2010-01-06,327.760010,329.519989,319.119995,322.559998,2473725
2010-01-07,325.760010,328.640015,325.440002,326.959991,1252963
2010-01-08,327.440002,329.359985,323.600006,325.040009,1174188
2010-01-11,324.320007,329.519989,323.679993,328.720001,1121988
2010-01-12,317.040009,322.880005,316.239990,320.559998,1495013
2010-01-13,313.679993,317.679993,309.040009,315.200012,1937838
2010-01-14,312.480011,315.519989,311.040009,314.399994,1071988
2010-01-15,307.200012,312.160004,306.239990,311.760010,1576913
2010-01-19,311.440002,311.600006,304.239990,304.559998,1022538
2010-01-20,303.119995,306.799988,303.040009,305.839996,1429913
2010-01-21,297.920013,307.279999,296.720001,305.760010,1714650
2010-01-22,290.720001,296.720001,290.559998,296.559998,2237738
2010-01-25,294.480011,295.920013,291.279999,292.000000,1131550
2010-01-26,292.000000,294.640015,290.000000,290.959991,1138113
2010-01-27,288.640015,293.920013,284.880005,292.320007,1850538
2010-01-28,289.279999,290.799988,285.920013,290.480011,1448638
2010-01-29,285.119995,292.000000,284.000000,291.040009,1794850
2010-02-01,293.760010,293.839996,286.160004,288.160004,1305925
2010-02-02,300.239990,303.440002,294.160004,294.720001,1831350
2010-02-03,301.200012,305.359985,300.000000,302.799988,2250713
2010-02-04,286.399994,297.119995,284.000000,296.959991,2605938
2010-02-05,281.679993,288.399994,272.559998,287.760010,3667938
2010-02-08,280.720001,282.959991,277.519989,280.640015,1532313
2010-02-09,289.679993,301.760010,282.640015,284.320007,1593613
2010-02-10,292.079987,293.600006,284.399994,288.720001,1290275
2010-02-11,294.239990,296.640015,287.600006,292.640015,1497450
2010-02-12,290.480011,290.959991,284.799988,289.200012,1570538
2010-02-16,302.320007,302.640015,296.640015,297.600006,1892513
2010-02-17,303.760010,303.839996,299.760010,301.440002,1291075
2010-02-18,309.839996,309.839996,304.079987,307.200012,2019650
2010-02-19,312.720001,312.720001,307.440002,309.279999,2112275
2010-02-22,312.239990,313.839996,310.399994,313.040009,1423563
2010-02-23,306.640015,309.679993,304.799988,309.119995,1408063
2010-02-24,311.920013,312.160004,305.600006,307.600006,1246663
2010-02-25,304.880005,305.119995,300.239990,302.799988,1745050
2010-02-26,310.559998,311.839996,306.320007,306.799988,1138288
2010-03-01,306.799988,313.119995,304.160004,312.399994,1212763
2010-03-02,310.399994,315.359985,308.399994,308.799988,1269575
2010-03-03,315.200012,316.480011,309.600006,312.559998,1554150
2010-03-04,313.200012,314.320007,310.640015,312.640015,1239588
2010-03-05,318.799988,319.679993,316.559998,316.959991,1255713
2010-03-08,318.320007,320.399994,314.640015,320.079987,984788
2010-03-09,316.399994,318.959991,314.480011,314.720001,1003800
2010-03-10,319.200012,323.200012,314.720001,316.559998,1889275
2010-03-11,320.399994,320.399994,317.200012,318.720001,1009363
2010-03-12,316.079987,321.920013,313.760010,321.279999,1418013
2010-03-15,310.640015,313.119995,308.000000,313.040009,1216125
2010-03-16,318.320007,319.200012,313.920013,314.720001,1595350
2010-03-17,321.839996,323.200012,318.160004,321.440002,1568913
2010-03-18,319.359985,321.839996,318.000000,320.720001,946113
2010-03-19,313.600006,319.760010,310.799988,313.600006,1728450
2010-03-22,316.480011,317.040009,306.399994,307.040009,1330913
2010-03-23,317.600006,318.640015,314.000000,315.119995,695275
2010-03-24,311.519989,314.000000,309.839996,311.920013,1098813
2010-03-25,311.200012,315.920013,311.040009,314.559998,1123363
2010-03-26,310.640015,312.959991,308.399994,312.799988,957463
2010-03-29,319.679993,320.880005,314.320007,314.559998,1301538
2010-03-30,319.600006,320.399994,317.040009,319.200012,854788
2010-03-31,322.320007,325.040009,319.279999,323.200012,1678563
2010-04-01,329.920013,330.320007,327.679993,328.079987,1133750
2010-04-05,336.559998,336.880005,331.519989,332.160004,956388
2010-04-06,336.160004,337.519989,334.640015,335.920013,916538
2010-04-07,332.160004,336.720001,331.600006,335.920013,1066288
2010-04-08,331.519989,332.880005,327.200012,328.959991,856713
2010-04-09,329.359985,333.839996,326.480011,332.559998,1130175
