lambda1,delta_lambda,q_stop,regime,reason,rs_value,date
0.0,0.4783679102165184,0.1,Degenerate,gap,0.986968624402488,2002-09-25
0.0,0.4451116571798467,0.1,Degenerate,gap,0.9878690506183535,2002-09-26
0.0,0.45747364469339236,0.1,Degenerate,gap,0.9875342490277966,2002-09-27
0.0,0.3946104470036721,0.1,Degenerate,gap,0.9892379619979447,2002-09-30
0.0,0.5219402459708405,0.1,Degenerate,gap,0.9857901281387489,2002-10-01
0.0,0.5127881115063293,0.1,Degenerate,gap,0.9860375481311362,2002-10-02
0.0,0.620354484708993,0.1,Degenerate,gap,0.9831335047797357,2002-10-03
0.0,0.5624858013655781,0.1,Degenerate,gap,0.9846947608708777,2002-10-04
0.0,0.5038038101432504,0.1,Degenerate,gap,0.9862804913028997,2002-10-07
0.0,0.5482657911351266,0.1,Degenerate,gap,0.9850787860013485,2002-10-08
0.0,0.6751625221182173,0.1,Degenerate,gap,0.9816571052969422,2002-10-09
0.0,0.8334126697455565,0.1,Degenerate,gap,0.9774066499954056,2002-10-10
0.0,0.8245290025918179,0.1,Degenerate,gap,0.9776447689139937,2002-10-11
0.0,0.4840569416545968,0.1,Degenerate,gap,0.9868146738528257,2002-10-14
0.0,0.7015548566244652,0.1,Degenerate,gap,0.9809469490348761,2002-10-15
0.0,0.7643001390543526,0.1,Degenerate,gap,0.97926068146395,2002-10-16
0.0,0.5260363892370136,0.1,Degenerate,gap,0.9856794125814512,2002-10-17
0.0,0.503975815218144,0.1,Degenerate,gap,0.986275839577,2002-10-18
0.0,0.4901007023498922,0.1,Degenerate,gap,0.9866511503016118,2002-10-21
4.060749603874701e-16,0.4957561894851746,0.1,Degenerate,gap,0.9864981566506666,2002-10-22
0.0,0.5064516228568262,0.1,Degenerate,gap,0.9862088859685086,2002-10-23
0.0,0.48602681160178207,0.1,Degenerate,gap,0.9867613729136846,2002-10-24
0.0,0.4800494219688999,0.1,Degenerate,gap,0.9869231186103672,2002-10-25
0.0,0.40415226823758227,0.1,Degenerate,gap,0.9889791712930492,2002-10-28
0.0,0.3513614320801671,0.1,Degenerate,gap,0.9904117994783249,2002-10-29
0.0,0.3156830875825739,0.1,Degenerate,gap,0.9913812070169373,2002-10-30
0.0,0.31750897006083556,0.1,Degenerate,gap,0.9913315733835854,2002-10-31
0.0,0.31021145549470586,0.1,Degenerate,gap,0.9915299592816994,2002-11-01
0.0,0.340561013718398,0.1,Degenerate,gap,0.9907051549082387,2002-11-04
0.0,0.30049811674710286,0.1,Degenerate,gap,0.9917940819339958,2002-11-05
0.0,0.29853222525494616,0.1,Degenerate,gap,0.9918475465187457,2002-11-06
0.0,0.24460154454375443,0.1,Degenerate,gap,0.9933153753675406,2002-11-07
0.0,0.2169872093931617,0.1,Degenerate,gap,0.9940677941351077,2002-11-08
0.0,0.2245163046018001,0.1,Degenerate,gap,0.9938625893894498,2002-11-11
0.0,0.31696696052603873,0.1,Degenerate,gap,0.9913463067682989,2002-11-12
0.0,0.3539652995671341,0.1,Degenerate,gap,0.9903410875602847,2002-11-13
0.0,0.34917445367083894,0.1,Degenerate,gap,0.9904711940507341,2002-11-14
0.0,0.38784335393689257,0.1,Degenerate,gap,0.9894215383155188,2002-11-15
0.0,0.3798144769655538,0.1,Degenerate,gap,0.9896393882366671,2002-11-18
0.0,0.34470748515388994,0.1,Degenerate,gap,0.9905925203010826,2002-11-19
0.0,0.3740480873829396,0.1,Degenerate,gap,0.9897958790055892,2002-11-20
0.0,0.3215671479001519,0.1,Degenerate,gap,0.9912212673452451,2002-11-21
0.0,0.3495525143418233,0.1,Degenerate,gap,0.9904609263184616,2002-11-22
0.0,0.35625647352553635,0.1,Degenerate,gap,0.990278871478513,2002-11-25
0.0,0.23916926410455772,0.1,Degenerate,gap,0.9934633458611465,2002-11-26
0.0,0.3118298111957092,0.1,Degenerate,gap,0.9914859601988382,2002-11-27
0.0,0.2694523297875868,0.1,Degenerate,gap,0.9926387430272459,2002-11-29
0.0,0.2537469462325272,0.1,Degenerate,gap,0.9930663125324473,2002-12-02
0.0,0.265707420006123,0.1,Degenerate,gap,0.9927406791983475,2002-12-03
0.0,0.26051798070233284,0.1,Degenerate,gap,0.9928819526614963,2002-12-04
0.0,0.29087265180699606,0.1,Degenerate,gap,0.9920558845487051,2002-12-05
0.0,0.9491164961738593,0.2,Degenerate,gap,0.9743106018922628,2002-12-06
0.0,0.27370874447007654,0.1,Degenerate,gap,0.9925228964390617,2002-12-09
0.0,0.2821078372349768,0.1,Degenerate,gap,0.9922943384850696,2002-12-10
0.0,0.2828923209721372,0.1,Degenerate,gap,0.9922729936293161,2002-12-11
0.0,0.26140029500047623,0.1,Degenerate,gap,0.9928579317702343,2002-12-12
0.0,0.8205232911063579,0.2,Degenerate,gap,0.9777521574779112,2002-12-13
0.0,0.8653138821018391,0.2,Degenerate,gap,0.9765520439114361,2002-12-16
0.0,0.8569917804727791,0.2,Degenerate,gap,0.9767749138011766,2002-12-17
0.0,0.8523017326158319,0.2,Degenerate,gap,0.9769005379506612,2002-12-18
