lambda1,delta_lambda,q_stop,regime,stop_reason,rs_value,date
0.0,0.9304345758667071,0.1,Degenerate,gap,0.9748098352796949,2002-08-27
0.0,0.28934711280710745,0.05,Degenerate,gap,0.9920973839635115,2002-08-28
0.0,0.8341454937910369,0.1,Degenerate,gap,0.9773870098782528,2002-08-29
0.0,0.9793819995230852,0.1,Degenerate,gap,0.9735023651859757,2002-08-30
0.0,0.27608288249868723,0.05,Degenerate,gap,0.9924582855377289,2002-09-03
0.0,0.2782693987753251,0.05,Degenerate,gap,0.9923987843829696,2002-09-04
0.0,0.7250610027049501,0.1,Degenerate,gap,0.9803148859385998,2002-09-05
0.0,0.5805033090044134,0.1,Degenerate,gap,0.9842083956603326,2002-09-06
0.0,0.6173545181549915,0.1,Degenerate,gap,0.9832143808813855,2002-09-09
0.0,0.827042959183139,0.1,Degenerate,gap,0.9775773786242672,2002-09-10
0.0,0.8006766146633221,0.1,Degenerate,gap,0.97828439830704,2002-09-11
0.0,0.8656374309196132,0.1,Degenerate,gap,0.9765433801452937,2002-09-12
9.320841889951953e-16,0.5944251564901925,0.1,Degenerate,gap,0.9838327533677619,2002-09-13
0.0,0.5821865593776254,0.1,Degenerate,gap,0.9841629702144102,2002-09-16
0.0,0.6796892022236084,0.1,Degenerate,gap,0.9815352663594318,2002-09-17
0.0,0.4007215343536326,0.1,Degenerate,gap,0.9890722109373878,2002-09-18
0.0,0.534125309796491,0.1,Degenerate,gap,0.9854608118905176,2002-09-19
0.0,0.5089249230054904,0.1,Degenerate,gap,0.9861420047086784,2002-09-20
0.0,0.5268172541265457,0.1,Degenerate,gap,0.9856583078238201,2002-09-23
0.0,0.37493927314058356,0.1,Degenerate,gap,0.9897716920053361,2002-09-24
2.525347691410932e-16,0.4015135173654743,0.1,Degenerate,gap,0.989050732010124,2002-09-25
0.0,0.4642637557129501,0.1,Degenerate,gap,0.987350399698828,2002-09-26
0.0,0.5941362364968517,0.1,Degenerate,gap,0.9838405476123523,2002-09-27
0.0,0.6111662539029376,0.1,Degenerate,gap,0.9833812313215822,2002-09-30
0.0,0.41807988760990517,0.1,Degenerate,gap,0.9886015516777703,2002-10-01
0.0,0.47202368322445387,0.1,Degenerate,gap,0.9871403334869913,2002-10-02
0.0,0.40751851754887836,0.1,Degenerate,gap,0.988887888942197,2002-10-03
0.0,0.378740430704443,0.1,Degenerate,gap,0.9896685342924549,2002-10-04
0.0,0.5117632170531465,0.1,Degenerate,gap,0.9860652591271092,2002-10-07
0.0,0.5837535042667719,0.1,Degenerate,gap,0.9841206853590331,2002-10-08
0.0,0.5767718373226309,0.1,Degenerate,gap,0.9843091034051474,2002-10-09
0.0,0.5362062532901972,0.1,Degenerate,gap,0.9854045828474364,2002-10-10
0.0,0.5560871781035323,0.1,Degenerate,gap,0.984867543351292,2002-10-11
0.0,0.7068618699717916,0.1,Degenerate,gap,0.9808042117147643,2002-10-14
0.0,0.7920711494220085,0.1,Degenerate,gap,0.9785152665295783,2002-10-15
0.0,0.8397863985869269,0.1,Degenerate,gap,0.9772358435088637,2002-10-16
0.0,0.6835467851624466,0.1,Degenerate,gap,0.9814314486007545,2002-10-17
0.0,0.6631295453060033,0.1,Degenerate,gap,0.9819810552941546,2002-10-18
0.0,0.6497056551382007,0.1,Degenerate,gap,0.9823425774084126,2002-10-21
0.0,0.6842188010299821,0.1,Degenerate,gap,0.9814133639996675,2002-10-22
0.0,0.608282525899962,0.1,Degenerate,gap,0.9834589932133435,2002-10-23
0.0,0.5787982245878139,0.1,Degenerate,gap,0.9842544124736295,2002-10-24
0.0,0.5133255883888711,0.1,Degenerate,gap,0.9860230161950442,2002-10-25
0.0,0.5505306663014743,0.1,Degenerate,gap,0.9850176108309487,2002-10-28
0.0,0.43978748732318923,0.1,Degenerate,gap,0.9880132808896859,2002-10-29
0.0,0.39174048928315885,0.1,Degenerate,gap,0.9893158134645471,2002-10-30
0.0,0.36187872017323175,0.1,Degenerate,gap,0.9901262177668648,2002-10-31
0.0,0.35234757968649494,0.1,Degenerate,gap,0.9903850185704333,2002-11-01
0.0,0.33220262274523465,0.1,Degenerate,gap,0.990932240882114,2002-11-04
0.0,0.8536590423208282,0.2,Degenerate,gap,0.9768641803966208,2002-11-05
0.0,0.941932479209847,0.2,Degenerate,gap,0.9745025487428064,2002-11-06
0.0,0.30332605481564623,0.1,Degenerate,gap,0.9917171780975803,2002-11-07
0.0,0.22213392607730878,0.1,Degenerate,gap,0.9939275162989681,2002-11-08
0.0,0.29609976264867266,0.1,Degenerate,gap,0.9919137040082482,2002-11-11
0.0,0.24326910291967302,0.1,Degenerate,gap,0.9933516678536835,2002-11-12
0.0,0.2168855843992851,0.1,Degenerate,gap,0.9940705642040508,2002-11-13
0.0,0.9841015389903741,0.2,Degenerate,gap,0.9733763908815353,2002-11-14
0.0,0.27245749614064235,0.1,Degenerate,gap,0.992556950188176,2002-11-15
0.0,0.9873309632614339,0.2,Degenerate,gap,0.9732902002383778,2002-11-18
0.0,0.8782035478480587,0.2,Degenerate,gap,0.9762069528268125,2002-11-19
0.0,0.8564737671042014,0.2,Degenerate,gap,0.9767887881301061,2002-11-20
0.0,0.7498591710682155,0.2,Degenerate,gap,0.9796485227583855,2002-11-21
0.0,0.6601355220991745,0.2,Degenerate,gap,0.9820616765457091,2002-11-22
0.0,0.657382057237059,0.2,Degenerate,gap,0.9821358260298935,2002-11-25
0.0,0.6401015877519975,0.2,Degenerate,gap,0.9826013086006987,2002-11-26
0.0,0.6710951047654897,0.2,Degenerate,gap,0.9817665957384717,2002-11-27
0.0,0.647469600059906,0.2,Degenerate,gap,0.9824028100923926,2002-11-29
0.0,0.4569107071807453,0.2,Degenerate,gap,0.987549492683991,2002-12-02
0.0,0.5175120916141686,0.2,Degenerate,gap,0.985909831685753,2002-12-03
0.0,0.5743656485598183,0.2,Degenerate,gap,0.9843740488894981,2002-12-04
0.0,0.47369860898152505,0.2,Degenerate,gap,0.9870949980378881,2002-12-05
0.0,0.45313622619578425,0.2,Degenerate,gap,0.9876517070698101,2002-12-06
0.0,0.4851001412814017,0.2,Degenerate,gap,0.9867864464937899,2002-12-09
0.0,0.47302976953383313,0.2,Degenerate,gap,0.987113101358802,2002-12-10
0.0,0.48890773967171974,0.2,Degenerate,gap,0.9866834256563046,2002-12-11
0.0,0.46317398383846276,0.2,Degenerate,gap,0.9873799041015406,2002-12-12
0.0,0.46303816976430806,0.2,Degenerate,gap,0.9873835811834729,2002-12-13
0.0,0.5057425832543352,0.2,Degenerate,gap,0.9862280601601116,2002-12-16
0.0,0.48923112627650284,0.2,Degenerate,gap,0.9866746763953269,2002-12-17
0.0,0.3969393976895174,0.2,Degenerate,gap,0.9891747905783413,2002-12-18
0.0,0.4627668368746887,0.2,Degenerate,gap,0.9873909273943982,2002-12-19
0.0,0.4573950520751671,0.2,Degenerate,gap,0.9875363772052039,2002-12-20
0.0,0.4564977710786634,0.2,Degenerate,gap,0.9875606746358919,2002-12-23
0.0,0.4336074471796043,0.2,Degenerate,gap,0.9881807228552925,2002-12-24
0.0,0.43361474242714226,0.2,Degenerate,gap,0.9881805251811772,2002-12-26
0.0,0.5634836902733986,0.2,Degenerate,gap,0.9846678175379422,2002-12-27
0.0,0.5719410182896801,0.2,Degenerate,gap,0.9844394964634497,2002-12-30
0.0,0.5504264851211338,0.2,Degenerate,gap,0.9850204247223087,2002-12-31
0.0,0.6355904590188927,0.2,Degenerate,gap,0.9827228608098807,2003-01-02
0.0,0.6718617198748483,0.2,Degenerate,gap,0.9817459583614557,2003-01-03
0.0,0.5991682798340336,0.2,Degenerate,gap,0.9837048061369538,2003-01-06
0.0,0.6782104115696137,0.2,Degenerate,gap,0.9815750674385835,2003-01-07
0.0,0.7359521657463108,0.2,Degenerate,gap,0.9800221686008469,2003-01-08
0.0,0.6864336609301701,0.2,Degenerate,gap,0.981353762323019,2003-01-09
0.0,0.6895563850906329,0.2,Degenerate,gap,0.9812697362516244,2003-01-10
