asset,sample,sharpe_ds_minus_vix,max_dd_ds_minus_vix,cagr_ds_minus_vix
EFA,full,-0.2548,-0.0509,-0.0491
EFA,oos,-0.3163,-0.029,-0.049
EEM,full,-0.2186,-0.0523,-0.0544
EEM,oos,-0.2526,-0.0357,-0.0479
EWJ,full,-0.2285,-0.0496,-0.0446
EWJ,oos,-0.2999,-0.0402,-0.047
VGK,full,-0.2463,-0.0496,-0.052
VGK,oos,-0.3005,-0.0332,-0.0517
GLD,full,0.035,0.0379,0.0066
GLD,oos,0.0969,0.0092,0.0134
DBC,full,-0.0511,-0.0608,-0.0092
DBC,oos,-0.0532,-0.055,-0.0088
USO,full,-0.0399,-0.0209,-0.0129
USO,oos,-0.0362,-0.0375,-0.0131
