lag,corr
-30,-0.130046845279826
-29,-0.13253929400061537
-28,-0.13957492339325234
-27,-0.13967168285446158
-26,-0.14105509481052975
-25,-0.1440052255720359
-24,-0.14802511100252191
-23,-0.1519360023585491
-22,-0.1544341225815382
-21,-0.1577904495697136
-20,-0.1591888257918402
-19,-0.1599835128932056
-18,-0.16434377509632714
-17,-0.16803042875349747
-16,-0.1725503174649319
-15,-0.17504391770470343
-14,-0.17943227811583443
-13,-0.18108629039339852
-12,-0.18317554884521287
-11,-0.18682454248636488
-10,-0.19354892746959085
-9,-0.19637763873240424
-8,-0.20134834349210454
-7,-0.20297030663410515
-6,-0.20638566845820483
-5,-0.20665194710617904
-4,-0.20789715392909944
-3,-0.20515150921978795
-2,-0.20672660959887693
-1,-0.20899980271846444
0,-0.20759947028368436
1,-0.2078349599000608
2,-0.210792638474957
3,-0.21539851420289427
4,-0.2205989560072426
5,-0.22485247790996316
6,-0.22688601918988135
7,-0.22894761844824849
8,-0.23034452370732872
9,-0.23085512700585903
10,-0.22894130611097321
11,-0.23003798045583831
12,-0.2332701255711231
13,-0.23359296878749397
14,-0.23396114414260455
15,-0.23333041290559914
16,-0.23493279240018744
17,-0.23737132319921064
18,-0.23660768264383605
19,-0.2352695548666544
20,-0.2328266143877907
21,-0.2310341537416164
22,-0.22927446799729798
23,-0.22532290083697248
24,-0.22173684387059542
25,-0.21891731924500632
26,-0.2161973917138868
27,-0.21580645760879963
28,-0.210307061000353
29,-0.20933877756680738
30,-0.2066009390094289
