lag,corr
-30,-0.14413750070088338
-29,-0.14405735983845946
-28,-0.14344821205367905
-27,-0.14350042999100396
-26,-0.14483267596042892
-25,-0.1440773295658412
-24,-0.14665939163946634
-23,-0.14931481080557304
-22,-0.1498877237519405
-21,-0.15080799769619763
-20,-0.1509245978821811
-19,-0.15053291849393977
-18,-0.15205914818498767
-17,-0.15752250173079646
-16,-0.1604244438469905
-15,-0.1618505473753534
-14,-0.16472390625968647
-13,-0.16823290213280187
-12,-0.17457479347976607
-11,-0.1765346853938438
-10,-0.17966266597043154
-9,-0.17953402051087838
-8,-0.1810091751677839
-7,-0.18248551985045702
-6,-0.1856892367702401
-5,-0.18914650973201771
-4,-0.19359258545922997
-3,-0.19439188227099372
-2,-0.20111400920533315
-1,-0.20428193516485926
0,-0.20715999356226333
1,-0.2088932403351794
2,-0.2097923545120238
3,-0.21016642291761248
4,-0.2127095441080934
5,-0.2148909419034485
6,-0.21248507974524192
7,-0.2154957939138683
8,-0.21430294372756062
9,-0.21312183703217558
10,-0.21325074560077936
11,-0.21221892292776817
12,-0.20937642080366559
13,-0.20854363243767096
14,-0.2072985573936272
15,-0.2071185164711633
16,-0.20655692083655064
17,-0.2053750653206449
18,-0.20448663971868275
19,-0.2020091871585375
20,-0.2005410000313622
21,-0.20048100025635437
22,-0.19726664075611572
23,-0.19636898011876927
24,-0.1933060972518104
25,-0.19036307056687532
26,-0.18679484916950975
27,-0.1848210863679892
28,-0.18029431428924556
29,-0.17657866366921796
30,-0.1714432503939609
