crisis,drawdown_threshold_pct,ds_drop_date,drawdown_date,lead_days
DD_-10pct_2002-09,-10.0,,2002-09-19,0
DD_-10pct_2002-10,-10.0,,2002-10-16,0
DD_-10pct_2003-01,-10.0,,2003-01-24,0
DD_-10pct_2003-03,-10.0,,2003-03-24,0
DD_-10pct_2003-03,-10.0,,2003-03-28,0
DD_-10pct_2003-04,-10.0,,2003-04-09,0
DD_-10pct_2007-11,-10.0,2007-10-23,2007-11-26,34
DD_-10pct_2008-01,-10.0,2007-10-23,2008-01-08,77
DD_-10pct_2008-01,-10.0,2008-01-09,2008-01-11,2
DD_-10pct_2008-01,-10.0,2008-01-09,2008-01-15,6
DD_-10pct_2008-05,-10.0,2008-04-21,2008-05-05,14
DD_-10pct_2008-05,-10.0,2008-04-21,2008-05-07,16
DD_-10pct_2008-05,-10.0,2008-04-21,2008-05-21,30
DD_-10pct_2012-03,-10.0,2012-01-20,2012-03-20,60
DD_-10pct_2012-03,-10.0,2012-01-20,2012-03-28,68
DD_-10pct_2012-04,-10.0,2012-04-02,2012-04-04,2
DD_-10pct_2012-08,-10.0,2012-04-02,2012-08-23,143
DD_-10pct_2012-08,-10.0,2012-04-02,2012-08-30,150
DD_-10pct_2012-11,-10.0,2012-11-06,2012-11-07,1
DD_-10pct_2012-11,-10.0,2012-11-19,2012-11-26,7
DD_-10pct_2012-12,-10.0,2012-11-19,2012-12-04,15
DD_-10pct_2012-12,-10.0,2012-11-19,2012-12-28,39
DD_-10pct_2015-08,-10.0,2015-08-24,2015-08-24,0
DD_-10pct_2015-09,-10.0,2015-08-25,2015-09-01,7
DD_-10pct_2015-09,-10.0,2015-09-28,2015-09-28,0
DD_-10pct_2016-01,-10.0,2015-11-13,2016-01-13,61
DD_-10pct_2016-01,-10.0,2015-11-13,2016-01-15,63
DD_-10pct_2016-02,-10.0,2016-01-29,2016-02-02,4
DD_-10pct_2018-02,-10.0,2018-02-02,2018-02-08,6
DD_-10pct_2018-04,-10.0,2018-04-02,2018-04-02,0
DD_-10pct_2018-11,-10.0,2018-10-29,2018-11-23,25
DD_-10pct_2018-12,-10.0,2018-11-27,2018-12-07,10
DD_-10pct_2018-12,-10.0,2018-11-27,2018-12-11,14
DD_-10pct_2018-12,-10.0,2018-11-27,2018-12-14,17
DD_-10pct_2019-01,-10.0,2019-01-18,2019-01-22,4
DD_-10pct_2020-02,-10.0,2020-01-30,2020-02-27,28
