Date,"('CLOSE', 'EEM')","('HIGH', 'EEM')","('LOW', 'EEM')","('OPEN', 'EEM')","('VOLUME', 'EEM')"
2010-01-04,30.351505,30.372826,29.960653,29.974866,70761600
2010-01-05,30.571804,30.678399,30.387036,30.493633,50196300
2010-01-06,30.635763,30.763679,30.564697,30.614445,50670000
2010-01-07,30.458101,30.543378,30.287546,30.450993,41803700
2010-01-08,30.699724,30.713937,30.372830,30.472319,41118100
2010-01-11,30.635763,30.891595,30.486529,30.877381,42546400
2010-01-12,30.145424,30.344405,29.989085,30.280448,65902300
2010-01-13,30.237814,30.344411,29.953559,30.266240,48040100
2010-01-14,30.159634,30.287549,30.109889,30.216486,52893800
2010-01-15,29.811424,30.117000,29.726148,30.074361,76681800
2010-01-19,30.415457,30.415457,29.896689,29.903797,57597300
2010-01-20,29.683508,29.925126,29.441890,29.925126,78934700
2010-01-21,28.788092,29.619544,28.766773,29.527160,116104300
2010-01-22,28.148520,28.674393,28.091667,28.582011,108173800
2010-01-25,28.354605,28.653073,28.191155,28.518052,86170400
2010-01-26,27.764765,28.141404,25.448075,27.807404,89832400
2010-01-27,27.693710,27.800305,27.274432,27.565795,91623300
2010-01-28,27.501833,28.056133,27.260215,27.942430,98086600
2010-01-29,27.203360,27.899788,27.061233,27.821620,151695100
2010-02-01,27.935335,27.963759,27.437885,27.459204,81928100
2010-02-02,28.162729,28.219579,27.729237,27.992174,86791200
2010-02-03,27.999289,28.297757,27.906904,28.169841,64323800
2010-02-04,26.734343,27.572900,26.720129,27.537369,131791500
2010-02-05,26.435873,26.578002,25.711018,26.499831,165899900
2010-02-08,26.172939,26.634855,26.165831,26.421663,78752400
2010-02-09,27.025702,27.267320,26.599318,26.812510,133342000
2010-02-10,26.954647,27.210479,26.656176,27.032818,84646000
2010-02-11,27.665289,27.693715,26.912008,27.139413,90206600
2010-02-12,27.317068,27.416560,26.912003,27.103876,63053000
2010-02-16,28.020605,28.041923,27.537368,27.729242,73196700
2010-02-17,28.120089,28.255110,27.949536,28.233791,63631100
2010-02-18,28.226690,28.326180,27.857156,27.899793,61597600
2010-02-19,27.985073,28.162734,27.828731,27.906902,77264800
2010-02-22,28.020605,28.169839,27.928221,28.155626,56446600
2010-02-23,27.373922,28.020606,27.352604,27.864264,103220800
2010-02-24,27.636856,27.764772,27.395238,27.558685,73043700
2010-02-25,27.409449,27.459193,26.833828,26.983065,73641500
2010-02-26,27.686604,27.743456,27.267325,27.437880,65727300
2010-03-01,28.155622,28.233794,27.949538,28.020602,73146100
2010-03-02,28.475414,28.638862,28.319072,28.439883,66353000
2010-03-03,28.510941,28.866261,28.404346,28.624643,68779900
2010-03-04,28.361704,28.567791,28.184043,28.532259,61065500
2010-03-05,29.100782,29.100782,28.645972,28.752567,78177700
2010-03-08,29.122089,29.271323,29.079450,29.164729,56724000
2010-03-09,29.285549,29.420573,28.987081,28.994186,66759800
2010-03-10,29.491632,29.612440,29.285546,29.349504,73994500
2010-03-11,29.498730,29.527156,29.164730,29.321069,42415700
2010-03-12,29.399244,29.640863,29.313968,29.633757,48949200
2010-03-15,29.186056,29.306867,29.001290,29.228696,43560300
2010-03-16,29.562700,29.576913,29.171848,29.285550,58417000
2010-03-17,29.882490,30.024619,29.754574,29.854064,72017100
2010-03-18,29.655075,29.868267,29.512946,29.825630,73867900
2010-03-19,29.271338,29.754574,29.228701,29.271338,65993900
2010-03-22,29.377932,29.406358,28.901800,28.972866,57583400
2010-03-23,29.584023,29.605341,29.278446,29.413467,50528500
2010-03-24,29.143415,29.392142,29.143415,29.271331,65081100
2010-03-25,29.065245,29.491629,29.008392,29.385031,72397600
2010-03-26,29.207373,29.413459,28.958649,29.306865,69798700
2010-03-29,29.733255,29.747469,29.448998,29.512955,57961300
2010-03-30,29.846947,29.932223,29.647968,29.804307,50327500
2010-03-31,29.932228,30.010399,29.733249,29.747462,52858500
2010-04-01,30.713943,30.713943,30.372836,30.372836,96281100
2010-04-05,30.991087,31.090576,30.799213,30.870276,63633700
2010-04-06,31.083471,31.154534,30.848958,30.870277,42926300
2010-04-07,30.813425,31.033722,30.649978,30.955554,55642000
2010-04-08,30.920019,30.955553,30.458104,30.607338,52083200
2010-04-09,31.111898,33.158548,30.934238,30.983983,46651000
2010-04-12,30.863167,31.033719,30.863167,30.877380,43558300
2010-04-13,30.799210,30.834741,30.493633,30.777891,47072900
2010-04-14,31.254030,31.282457,30.976880,31.119009,42957800
2010-04-15,31.083471,31.254024,31.019513,31.055045,43463300
2010-04-16,30.173845,30.784998,30.038824,30.735253,142486200
2010-04-19,30.053041,30.116999,29.598231,29.818528,89434600
2010-04-20,30.408367,30.458112,30.166749,30.323088,63883700
2010-04-21,30.308870,30.394147,30.031718,30.351507,64141600
2010-04-22,30.436785,30.465208,29.839846,30.038824,72788900
2010-04-23,30.600235,30.635767,30.195169,30.337296,64724100
2010-04-26,30.600235,30.841853,30.550490,30.792109,46317300
2010-04-27,29.505844,30.330188,29.441886,30.259125,132888400
2010-04-28,29.754572,29.889596,29.342401,29.854061,68981700
2010-04-29,30.244907,30.280439,29.960650,30.031713,69912900
2010-04-30,29.882490,30.337301,29.854064,30.230706,77528000
2010-05-03,30.045929,30.145418,29.775887,29.981971,47649800
2010-05-04,28.667282,29.427668,28.589111,29.406350,159998800
2010-05-05,28.148520,28.610435,27.878475,28.127201,131994700
2010-05-06,26.997274,28.255108,25.995270,27.935321,225063100
2010-05-07,27.139406,27.601324,26.471404,27.260217,191265100
2010-05-10,29.093674,29.157632,28.702821,28.873376,187916400
2010-05-11,28.567806,28.994190,28.354614,28.425677,119869600
2010-05-12,28.923122,28.972867,28.709930,28.809420,73936600
2010-05-13,28.653074,29.086566,28.631756,28.923119,71622500
2010-05-14,28.063246,28.468311,27.786093,28.446990,113085000
2010-05-17,27.892687,28.191155,27.288642,27.999284,101708500
2010-05-18,27.309965,28.276438,27.217581,28.169841,113529000
2010-05-19,27.047029,27.217582,26.549580,26.933327,129633400
2010-05-20,25.703909,26.336382,25.583101,26.016593,174383500
2010-05-21,26.535357,26.563783,25.348584,25.377010,169452900
2010-05-24,26.258209,26.741446,26.222678,26.556677,90936400
2010-05-25,25.973959,26.016598,25.021699,25.206467,144257100
2010-05-26,25.959742,26.663278,25.895784,26.243999,128281900
2010-05-27,27.530266,27.580011,26.776984,26.975963,147181800
2010-05-28,27.075447,27.423663,26.947531,27.373918,113223700
