Date,"('CLOSE', 'EWJ')","('HIGH', 'EWJ')","('LOW', 'EWJ')","('OPEN', 'EWJ')","('VOLUME', 'EWJ')"
2010-01-04,29.801054,29.801054,29.443084,29.443084,5928175
2010-01-05,29.980043,30.099367,29.801057,29.920380,7801450
2010-01-06,30.099360,30.188851,29.890544,29.890544,9715575
2010-01-07,29.830887,29.920379,29.741395,29.801055,8008575
2010-01-08,30.188862,30.248525,30.009878,30.159030,4221025
2010-01-11,30.457338,30.457338,30.278352,30.367846,5207850
2010-01-12,30.666149,30.785473,30.576657,30.666149,7622100
2010-01-13,30.845133,30.874964,30.546823,30.576654,8881400
2010-01-14,31.292599,31.352262,31.053952,31.053952,6478200
2010-01-15,31.232935,31.382090,30.904793,31.322427,9396400
2010-01-19,31.203108,31.292600,30.964461,30.994293,4339950
2010-01-20,30.516993,30.576656,30.248517,30.546824,8363125
2010-01-21,30.666149,30.904796,30.487165,30.845136,14103825
2010-01-22,30.338001,30.785463,30.308170,30.636311,7058500
2010-01-25,30.576660,30.695984,30.457337,30.666152,4211075
2010-01-26,30.248514,30.516990,30.159019,30.248514,6857050
2010-01-27,30.069530,30.159022,29.830884,30.009870,7203225
2010-01-28,29.771227,30.069537,29.622075,30.039705,10078700
2010-01-29,29.353588,29.771219,29.323757,29.592235,9333825
2010-02-01,29.651892,29.711555,29.532568,29.651892,8146550
2010-02-02,30.218687,30.218687,29.890548,29.950209,10421550
2010-02-03,29.920385,30.039709,29.741402,29.950217,8389425
2010-02-04,29.353588,29.443080,29.144773,29.383420,11501650
2010-02-05,29.293928,29.353591,28.846466,29.234268,11118800
2010-02-08,29.085115,29.323762,28.965792,29.204439,6925325
2010-02-09,29.264091,29.472907,29.114937,29.353583,9333800
2010-02-10,29.264091,29.443075,29.025442,29.323752,8004425
2010-02-11,29.413248,29.472911,29.085109,29.204433,3969800
2010-02-12,29.234262,29.293923,29.055276,29.144771,4158650
2010-02-16,29.532568,29.592231,29.085106,29.204429,5112300
2010-02-17,29.532568,29.711554,29.502739,29.592231,3812475
2010-02-18,29.592232,29.651892,29.413245,29.502740,3613475
2010-02-19,29.114946,29.264101,28.995623,29.114946,7393900
2010-02-22,29.472919,29.502751,29.293933,29.413256,5019000
2010-02-23,29.353588,29.443080,29.174602,29.383420,6689600
2010-02-24,29.413248,29.592235,29.293925,29.323756,4033950
2010-02-25,29.472919,29.472919,29.114949,29.234273,4555800
2010-02-26,29.651892,29.741386,29.443076,29.562400,4803650
2010-03-01,29.950216,30.069540,29.830893,29.920385,6200750
2010-03-02,30.039700,30.278346,30.039700,30.129194,3943225
2010-03-03,30.248514,30.427498,30.159019,30.248514,3626000
2010-03-04,29.950216,30.039708,29.801061,30.039708,3949600
2010-03-05,30.248514,30.308174,30.009867,30.039696,4334325
2010-03-08,30.457338,30.516999,30.338015,30.457338,4004175
2010-03-09,30.338001,30.546816,30.248509,30.278338,4604925
2010-03-10,30.129189,30.308172,30.099357,30.159017,10151750
2010-03-11,30.427494,30.457326,30.248510,30.308171,4562450
2010-03-12,30.725805,30.725805,30.487158,30.636313,3717750
2010-03-15,30.576660,30.636323,30.397674,30.516997,3690700
2010-03-16,30.874968,30.904796,30.636321,30.695981,5366750
2010-03-17,30.994289,31.113613,30.785471,30.785471,6546450
2010-03-18,30.785469,30.904792,30.695977,30.845132,5722975
2010-03-19,30.725805,30.934621,30.606482,30.725805,4443000
2010-03-22,30.874968,30.934628,30.546826,30.576658,4174525
2010-03-23,31.173275,31.203107,30.874968,30.904797,6586900
2010-03-24,30.666149,30.815304,30.576657,30.636320,6643275
2010-03-25,30.487165,30.904796,30.457334,30.755644,6396725
2010-03-26,30.964455,31.053946,30.755639,30.815300,11045775
2010-03-29,31.352251,31.352251,31.143433,31.232928,3641500
2010-03-30,31.531242,31.620737,31.382090,31.501414,5168475
2010-03-31,31.143448,31.352266,31.024124,31.322434,9415275
2010-04-01,31.620735,31.620735,31.292594,31.382088,14896075
2010-04-05,31.531242,31.710229,31.352259,31.441751,5060850
2010-04-06,31.620735,31.680395,31.411917,31.441749,4264875
2010-04-07,31.620735,31.710227,31.471580,31.561072,6652125
2010-04-08,31.650568,31.650568,31.352261,31.411921,5457150
2010-04-09,31.740059,31.769888,31.501412,31.531241,5385800
2010-04-12,31.680391,31.769883,31.590899,31.620731,4656875
2010-04-13,31.620735,31.710227,31.382088,31.650564,3608850
2010-04-14,31.769888,31.829551,31.561073,31.650565,6355075
2010-04-15,31.919037,31.948868,31.680390,31.740053,5817175
2010-04-16,31.322424,31.799718,31.113609,31.680394,9578925
2010-04-19,31.262762,31.292594,30.934623,31.113610,8431725
2010-04-20,31.143448,31.322434,31.113619,31.292603,5620875
2010-04-21,31.262762,31.292594,31.113610,31.292594,4637350
2010-04-22,30.994289,31.053950,30.695979,30.874966,5489775
2010-04-23,31.203108,31.232939,30.845138,30.904798,4411125
2010-04-26,31.411917,31.531240,31.352256,31.382088,3413125
2010-04-27,30.845133,31.441750,30.785470,31.322426,8823125
2010-04-28,30.725805,31.024112,30.636313,30.934621,6456600
2010-04-29,31.083780,31.173272,30.934625,30.964457,4546100
2010-04-30,30.994289,31.173273,30.845134,31.143442,9148925
2010-05-03,31.083780,31.203104,30.874965,30.874965,3701350
2010-05-04,30.129189,30.606482,29.980034,30.576651,6504075
2010-05-05,30.099360,30.129191,29.651895,29.681726,6317150
2010-05-06,29.920385,30.338019,28.339349,30.009880,12637675
2010-05-07,29.651892,30.129188,29.443076,29.890541,10233575
2010-05-10,30.487165,30.695981,30.367842,30.516994,7357575
2010-05-11,29.801054,30.248519,29.741394,29.830886,7023475
2010-05-12,30.069530,30.188854,29.920375,29.980039,5202675
2010-05-13,29.830887,30.099365,29.801055,29.980042,6210875
2010-05-14,29.622055,29.741378,29.293914,29.711547,4767475
2010-05-17,29.562412,29.771228,29.293934,29.681736,7074475
2010-05-18,29.055283,29.622071,28.995622,29.532576,5577000
2010-05-19,29.264091,29.353583,29.025442,29.114937,5960025
2010-05-20,28.816633,29.055280,28.667478,28.876296,7760675
2010-05-21,29.085115,29.114947,28.399006,28.428835,7405700
2010-05-24,28.697309,28.906125,28.667478,28.786801,4975250
2010-05-25,28.518322,28.518322,27.891873,27.981365,8158550
2010-05-26,28.160349,28.458659,28.070857,28.279672,4596025
2010-05-27,28.846466,28.876298,28.548156,28.697311,6962900
2010-05-28,28.369164,28.786794,28.369164,28.727134,7155925
2010-06-01,28.279680,28.727145,28.249852,28.369175,6133800
2010-06-02,28.428829,28.458661,28.011199,28.100691,4481100
2010-06-03,28.369164,28.667471,28.190177,28.577979,9611225
2010-06-04,27.832211,28.160349,27.683056,28.041026,8464875
2010-06-07,27.384756,27.772558,27.295261,27.623403,4972750
2010-06-08,27.653227,27.742719,27.354917,27.474240,5427375
2010-06-09,27.683052,27.921699,27.504068,27.712884,4101000
2010-06-10,28.160349,28.220012,27.891873,27.921702,4181675
2010-06-11,28.100689,28.130520,27.802379,27.862042,4122750
2010-06-14,28.279680,28.428835,28.160357,28.279680,4593675
2010-06-15,28.786800,28.816632,28.458662,28.548154,4133975
2010-06-16,28.906130,28.995625,28.727146,28.786806,2913175
2010-06-17,28.846466,28.995621,28.727143,28.995621,4169525
2010-06-18,28.906130,28.906130,28.607823,28.727146,2903350
2010-06-21,29.114946,29.264101,28.995623,29.204438,4037450
2010-06-22,28.756971,29.144773,28.637648,29.085110,7267650
2010-06-23,28.633781,28.844105,28.483551,28.844105,3400350
2010-06-24,28.543646,28.753967,28.393416,28.723923,8210950
2010-06-25,28.663834,28.784017,28.453513,28.633787,3497950
2010-06-28,28.333326,28.603740,28.273233,28.513600,3770250
2010-06-29,27.642267,28.032865,27.582177,28.002818,6191575
2010-06-30,27.642267,27.942728,27.642267,27.702360,4881525
2010-07-01,27.732403,27.852589,27.522082,27.792496,5714600
2010-07-02,27.852587,28.032861,27.672310,27.942724,4020650
2010-07-06,28.423460,28.964288,28.333323,28.723921,4094375
