Date,"('CLOSE', 'GLD')","('HIGH', 'GLD')","('LOW', 'GLD')","('OPEN', 'GLD')","('VOLUME', 'GLD')"
2010-01-04,109.800003,110.139999,109.309998,109.820000,16224100
2010-01-05,109.699997,110.389999,109.260002,109.879997,14213100
2010-01-06,111.510002,111.769997,110.410004,110.709999,24981900
2010-01-07,110.820000,111.290001,110.620003,111.070000,13609800
2010-01-08,111.370003,111.580002,110.260002,111.519997,15894600
2010-01-11,112.849998,113.589996,112.519997,113.339996,17253000
2010-01-12,110.489998,113.050003,110.139999,112.379997,29182600
2010-01-13,111.540001,111.570000,109.570000,110.919998,20014000
2010-01-14,112.029999,112.370003,110.790001,111.510002,18305300
2010-01-15,110.860001,112.010002,110.379997,111.349998,18002700
2010-01-19,111.519997,111.750000,110.830002,110.949997,10468200
2010-01-20,108.940002,110.050003,108.459999,109.970001,17535000
2010-01-21,107.370003,108.779999,106.610001,108.480003,25748400
2010-01-22,107.169998,107.680000,106.010002,106.930000,24210100
2010-01-25,107.480003,107.720001,107.070000,107.440002,13200500
2010-01-26,107.559998,107.989998,106.750000,106.870003,12297100
2010-01-27,106.529999,108.800003,106.160004,107.529999,19005100
2010-01-28,106.480003,107.230003,105.180000,107.180000,16793900
2010-01-29,105.959999,106.300003,105.269997,105.879997,20278800
2010-02-01,108.349998,108.480003,106.370003,106.639999,14901900
2010-02-02,109.129997,109.599998,108.610001,109.160004,14292200
2010-02-03,108.699997,109.540001,108.430000,109.099998,13393200
2010-02-04,104.370003,106.800003,103.750000,106.790001,39991900
2010-02-05,104.680000,104.680000,102.279999,103.760002,32656700
2010-02-08,104.040001,105.139999,104.000000,104.410004,17176600
2010-02-09,105.410004,106.150002,104.870003,105.180000,25959200
2010-02-10,105.120003,105.500000,104.110001,105.129997,16215200
2010-02-11,107.129997,107.559998,105.269997,105.580002,19350100
2010-02-12,107.040001,107.099998,105.570000,106.080002,14464200
2010-02-16,109.620003,109.870003,109.099998,109.449997,20895700
2010-02-17,109.250000,110.010002,108.870003,109.660004,19593400
2010-02-18,109.980003,110.110001,109.190002,109.610001,19177400
2010-02-19,109.470001,110.389999,108.809998,109.320000,21928700
2010-02-22,109.070000,109.970001,108.660004,109.860001,10742800
2010-02-23,107.889999,108.910004,107.650002,108.839996,13629600
2010-02-24,107.360001,108.160004,107.099998,107.330002,17207400
2010-02-25,108.309998,108.699997,106.599998,106.699997,23400400
2010-02-26,109.430000,109.599998,108.410004,108.889999,13033900
2010-03-01,109.430000,109.900002,108.970001,109.480003,12830900
2010-03-02,111.019997,111.449997,109.860001,109.860001,20102200
2010-03-03,111.629997,112.180000,111.180000,111.459999,16222100
2010-03-04,110.830002,111.370003,110.220001,111.250000,12944800
2010-03-05,110.809998,111.750000,110.800003,111.129997,11091400
