Date,"('CLOSE', 'QQQ')","('HIGH', 'QQQ')","('LOW', 'QQQ')","('OPEN', 'QQQ')","('VOLUME', 'QQQ')"
2010-01-04,40.341595,40.402432,40.211238,40.263383,62822800
2010-01-05,40.341595,40.411121,40.115642,40.315524,62935600
2010-01-06,40.098259,40.454572,40.037425,40.324215,96033000
2010-01-07,40.124321,40.211229,39.907057,40.159084,77094100
2010-01-08,40.454578,40.454578,39.915764,40.037432,88886600
2010-01-11,40.289455,40.532790,40.080880,40.506720,104673400
2010-01-12,39.785404,40.098265,39.568140,40.046124,90673900
2010-01-13,40.280766,40.402436,39.637666,39.907071,100661000
2010-01-14,40.315525,40.428503,40.167787,40.202547,75209000
2010-01-15,39.846233,40.454573,39.672425,40.385051,126849300
2010-01-19,40.489334,40.532786,39.933139,39.941828,84388200
2010-01-20,39.907059,40.498017,39.481223,40.202538,145680000
2010-01-21,39.533390,40.280776,39.368267,40.020060,204939600
2010-01-22,38.377514,39.524668,38.273228,39.403000,171098700
2010-01-25,38.507874,38.759897,38.342751,38.612159,154218700
2010-01-26,38.542637,39.011928,38.281921,38.464422,140816500
2010-01-27,38.846825,38.977181,38.247174,38.473130,161632700
2010-01-28,37.847389,38.612159,37.647507,38.586089,221439800
2010-01-29,37.186932,38.255871,37.047883,38.160274,212099600
2010-02-01,37.595371,37.612753,37.265132,37.282514,136827100
2010-02-02,37.934303,38.047278,37.395486,37.656206,110727700
2010-02-03,38.142879,38.212406,37.734422,37.751803,93581600
2010-02-04,37.039173,37.942992,37.039173,37.864777,151652500
2010-02-05,37.352043,37.386806,36.604654,37.134779,213618600
2010-02-08,37.082634,37.525855,37.056563,37.291209,94354400
2010-02-09,37.465015,37.812636,37.160844,37.525849,118956000
2010-02-10,37.386799,37.638826,37.152153,37.465014,94102900
2010-02-11,37.951691,38.055980,37.160849,37.395495,93050800
2010-02-12,38.029915,38.134204,37.508482,37.612768,93938500
2010-02-16,38.516590,38.542661,38.108132,38.308018,83861400
2010-02-17,38.733826,38.733826,38.464417,38.690374,82691700
2010-02-18,38.977177,39.046703,38.629556,38.707771,65752600
2010-02-19,38.959808,39.150999,38.777304,38.872901,80416500
2010-02-22,38.881573,39.133596,38.725142,39.116215,72055000
2010-02-23,38.377514,38.881568,38.195013,38.855494,95814400
2010-02-24,38.768597,38.925027,38.516570,38.577403,86591000
2010-02-25,38.759907,38.846814,38.090736,38.360142,97961300
2010-02-26,38.898960,38.985868,38.586103,38.751222,66222400
2010-03-01,39.463852,39.533378,39.064087,39.072776,77290100
2010-03-02,39.585506,39.846223,39.498602,39.602888,76368500
2010-03-03,39.628975,39.820168,39.481237,39.681119,65735500
2010-03-04,39.759327,39.811472,39.455159,39.655041,54470900
2010-03-05,40.358974,40.445882,39.967902,40.054806,68136300
2010-03-08,40.437180,40.532776,40.358964,40.376346,58712400
2010-03-09,40.663136,40.889089,40.324204,40.350275,98002800
2010-03-10,40.993378,41.088974,40.671828,40.689209,102578900
2010-03-11,41.149807,41.149807,40.828257,40.897783,67510300
2010-03-12,41.158497,41.306235,40.932540,41.280164,64068300
2010-03-15,41.054222,41.175889,40.767432,41.071600,60150500
2010-03-16,41.314945,41.375779,41.045537,41.184585,74950600
2010-03-17,41.427902,41.627788,41.306235,41.375761,75643500
2010-03-18,41.566959,41.610412,41.367074,41.462670,77829400
2010-03-19,41.315536,41.715728,41.167638,41.689627,86337100
2010-03-22,41.689617,41.854916,41.106730,41.150228,71902800
2010-03-23,41.976727,42.020225,41.559135,41.750532,59182600
2010-03-24,41.776638,41.907134,41.680939,41.907134,62995700
2010-03-25,41.715733,42.281220,41.672234,42.124623,76294800
2010-03-26,41.759216,42.046313,41.533022,41.889715,78067900
2010-03-29,41.959335,42.107234,41.846236,41.968037,57993300
2010-03-30,42.098518,42.237716,41.811425,42.089820,49437300
2010-03-31,41.898422,42.150718,41.820124,41.968023,59947400
2010-04-01,41.898422,42.368214,41.576529,42.072420,83728600
2010-04-05,42.289921,42.385620,41.881027,41.994126,56220300
2010-04-06,42.411701,42.542200,42.098507,42.194205,54097100
2010-04-07,42.307316,42.516110,42.081118,42.350814,77211500
2010-04-08,42.403015,42.472612,41.968023,42.185519,68314300
2010-04-09,42.655308,42.672708,42.307316,42.411713,54227300
2010-04-12,42.690109,42.803208,42.577010,42.672709,44280600
2010-04-13,42.907608,42.933706,42.507416,42.646614,59376000
2010-04-14,43.420891,43.429589,43.064198,43.133798,69004800
2010-04-15,43.612293,43.664490,43.386096,43.386096,72254200
2010-04-16,43.090294,43.603584,42.803201,43.455689,127388000
2010-04-19,43.064213,43.203410,42.542224,42.933714,98251700
2010-04-20,43.281696,43.394795,43.003302,43.299096,69543700
2010-04-21,43.525299,43.664496,43.255606,43.577499,74748700
2010-04-22,43.768894,43.812393,42.855408,43.107705,110477200
2010-04-23,43.951591,43.995090,43.577498,43.760194,77205200
2010-04-26,43.855896,44.064694,43.760197,43.995093,67361000
2010-04-27,42.925007,43.873289,42.811908,43.681892,112608000
2010-04-28,42.951103,43.177301,42.611810,43.151199,130082100
2010-04-29,43.699295,43.786295,43.159906,43.194706,84180200
2010-04-30,42.838001,43.751484,42.803201,43.681883,110897000
