Date,"('CLOSE', 'VGK')","('HIGH', 'VGK')","('LOW', 'VGK')","('OPEN', 'VGK')","('VOLUME', 'VGK')"
2010-01-04,28.678175,28.758538,28.523189,28.523189,798300
2010-01-05,28.632271,28.810217,28.500246,28.729854,430500
2010-01-06,28.804462,28.804462,28.523190,28.586333,247800
2010-01-07,28.620789,28.666709,28.414140,28.592088,937700
2010-01-08,28.907797,28.930758,28.609305,28.660967,450500
2010-01-11,29.137407,29.229251,28.976682,29.212031,503900
2010-01-12,28.712624,28.838909,28.574857,28.683923,1347900
2010-01-13,29.102957,29.102957,28.683920,28.838907,525000
2010-01-14,29.045557,29.143142,28.879092,28.936493,896400
2010-01-15,28.437098,28.861873,28.402655,28.844653,477700
2010-01-19,29.028339,29.028339,28.425616,28.483017,525800
2010-01-20,28.127121,28.333770,27.908992,28.322289,540800
2010-01-21,27.254599,28.109893,27.151274,28.086932,773000
2010-01-22,26.663368,27.323493,26.646146,27.145548,774000
2010-01-25,27.151289,27.357938,27.025005,27.271833,1306000
2010-01-26,26.938892,27.231643,26.818348,26.921672,430600
2010-01-27,27.047962,27.065184,26.680588,26.892976,484800
2010-01-28,26.387835,27.042220,26.244329,27.019259,686000
2010-01-29,26.083609,26.743736,26.054908,26.554307,833800
2010-02-01,26.737995,26.743734,26.514124,26.514124,500000
2010-02-02,27.151289,27.185731,26.778175,26.904459,460400
2010-02-03,26.812613,27.065184,26.697808,26.967599,577200
2010-02-04,25.498102,26.324697,25.498102,26.273035,993100
2010-02-05,25.262753,25.434961,24.573927,25.302936,1533000
2010-02-08,24.895372,25.343112,24.826490,25.124982,759400
2010-02-09,25.928621,26.060649,25.234054,25.480884,1243700
2010-02-10,25.630133,25.739196,25.371822,25.658833,1358600
2010-02-11,25.848248,25.859728,25.234043,25.486615,491500
2010-02-12,25.498102,25.566987,25.159431,25.291456,707800
2010-02-16,26.169695,26.255799,25.584191,25.607153,483700
2010-02-17,26.141008,26.382097,26.089346,26.341916,337400
2010-02-18,26.359140,26.376363,26.106571,26.118052,1073400
2010-02-19,26.244322,26.255803,25.899907,25.974530,832600
2010-02-22,26.204153,26.370618,26.163972,26.336178,465800
2010-02-23,25.681786,26.204146,25.612901,26.031938,1889800
2010-02-24,25.951561,26.054885,25.687511,25.802316,2104400
2010-02-25,25.739187,25.744927,25.257008,25.354591,1891100
2010-02-26,25.940107,25.997511,25.452189,25.658837,1151900
2010-03-01,26.020456,26.054896,25.704742,25.831028,760900
2010-03-02,26.295996,26.439501,26.089347,26.267293,1143000
2010-03-03,26.692062,26.829829,26.496895,26.519856,982500
2010-03-04,26.588737,26.829828,26.479674,26.778166,791200
2010-03-05,27.294790,27.306271,26.760949,26.789649,1109400
2010-03-08,27.208691,27.334974,27.099625,27.277573,753700
2010-03-09,27.025000,27.174245,26.858532,26.892972,565200
2010-03-10,27.277573,27.398117,27.065185,27.099625,449000
2010-03-11,27.438299,27.438299,27.105367,27.225911,699500
2010-03-12,27.535877,27.667902,27.426811,27.621979,752400
2010-03-15,27.271833,27.392380,27.099627,27.352198,478100
2010-03-16,27.754013,27.771235,27.369419,27.432562,743800
2010-03-17,27.880295,28.012320,27.828633,27.886036,445100
2010-03-18,27.639198,27.828625,27.466990,27.817144,556100
2010-03-19,27.271833,27.616249,27.139808,27.271833,536400
2010-03-22,27.352196,27.380896,26.824093,26.870016,639000
2010-03-23,27.495695,27.547357,27.248865,27.352189,1164600
2010-03-24,26.973331,27.122576,26.881488,27.047953,1080500
2010-03-25,27.065187,27.449782,27.030745,27.329238,613900
2010-03-26,27.346451,27.432555,27.162764,27.197206,565000
2010-03-29,27.576069,27.581808,27.352200,27.415341,695400
2010-03-30,27.432562,27.656431,27.334977,27.656431,419800
2010-03-31,27.627720,27.725303,27.375148,27.472733,578400
2010-04-01,28.132875,28.155837,27.897526,27.897526,1196800
2010-04-05,28.213228,28.264890,28.012319,28.075462,325600
2010-04-06,28.041019,28.058242,27.731049,27.828632,902600
2010-04-07,27.685133,27.880301,27.621990,27.845859,574000
2010-04-08,27.650698,27.685140,27.294804,27.392389,688100
2010-04-09,28.190264,28.201744,27.799928,27.817148,534900
2010-04-12,28.391178,28.442840,28.305076,28.333777,410200
2010-04-13,28.373959,28.448582,28.138609,28.442841,283100
2010-04-14,28.747065,28.798725,28.477273,28.580597,1192000
2010-04-15,28.724106,28.775768,28.517457,28.574859,330700
2010-04-16,28.063980,28.546159,27.908994,28.477277,777400
2010-04-19,27.960657,28.023800,27.667906,27.696607,626200
2010-04-20,28.259163,28.299344,28.150099,28.259163,597600
2010-04-21,27.954924,28.109910,27.811418,28.012325,668400
2010-04-22,27.656420,27.742524,27.323485,27.512914,479000
2010-04-23,28.012325,28.012325,27.547368,27.633470,534300
2010-04-26,27.926218,28.086944,27.903257,27.983619,615900
2010-04-27,26.537079,27.667905,26.514117,27.421075,1459900
2010-04-28,26.450987,26.818361,26.181195,26.737998,811200
2010-04-29,27.047962,27.047962,26.789651,26.887236,1590500
2010-04-30,26.577271,27.053711,26.565790,27.053711,1221600
2010-05-03,26.772436,26.881502,26.560048,26.634672,1529900
2010-05-04,25.618643,26.043419,25.515319,26.037679,2704500
2010-05-05,24.952784,25.320158,24.855199,24.924081,3105700
2010-05-06,23.621038,24.992953,22.616499,24.769084,5924200
2010-05-07,23.460316,24.126182,22.995359,23.839171,4000300
2010-05-10,25.452171,25.635858,25.119237,25.377548,5671200
2010-05-11,25.027403,25.480882,24.786314,24.837976,3150300
2010-05-12,25.452171,25.572716,25.239784,25.291446,1816700
2010-05-13,24.918339,25.314414,24.912600,25.159430,2936700
2010-05-14,24.103235,24.631336,23.867886,24.585415,5229000
2010-05-17,24.160620,24.304125,23.506234,24.183581,4869300
2010-05-18,23.621038,25.607157,23.466052,24.545213,1928600
2010-05-19,23.839174,23.890836,23.334036,23.649748,2533300
2010-05-20,23.018320,23.420137,22.627984,23.006842,7128500
2010-05-21,23.569382,23.695665,22.673905,22.765749,4464100
2010-05-24,22.926474,23.351252,22.926474,23.316809,2411000
2010-05-25,22.915009,22.926489,22.099897,22.260622,1923800
2010-05-26,22.495964,23.196273,22.467263,22.960924,2863100
2010-05-27,23.971199,24.057303,23.299593,23.356995,2275300
2010-05-28,23.454580,23.982680,23.437360,23.902318,3269200
2010-06-01,23.270887,23.919532,23.173302,23.270887,1464300
2010-06-02,24.051565,24.068785,23.311075,23.431619,6653200
2010-06-03,23.936764,24.246737,23.730115,24.137671,2268500
2010-06-04,22.765753,23.374218,22.731311,23.288114,6418700
2010-06-07,22.518919,23.069980,22.507438,22.966656,1053800
2010-06-08,22.863340,22.863340,22.363939,22.564848,1465000
2010-06-09,22.731308,23.282372,22.645206,22.972399,1012300
2010-06-10,23.908056,23.913796,23.460317,23.632523,2632500
2010-06-11,23.890833,23.971196,23.603821,23.649744,972400
2010-06-14,24.131927,24.505041,24.057304,24.355796,3284900
2010-06-15,25.027403,25.044625,24.487822,24.562446,2514600
2010-06-16,24.826498,24.941303,24.573929,24.602629,1608200
2010-06-17,25.010178,25.038878,24.711685,24.981477,2754900
2010-06-18,24.924070,25.056098,24.849449,24.969993,522000
2010-06-21,24.815008,25.320149,24.728906,25.234045,869800
2010-06-22,24.522261,25.015921,24.482079,24.895374,1135200
2010-06-23,24.780573,24.918339,24.430421,24.734652,1197500
2010-06-24,24.258205,24.608360,24.212285,24.562439,839200
2010-06-25,24.361536,24.424679,23.999903,24.114706,1082000
2010-06-28,24.212278,24.579653,24.154877,24.321342,742600
2010-06-29,23.328289,23.747325,23.150343,23.747325,5265400
2010-06-30,23.069979,23.557899,23.041278,23.293849,1941200
2010-07-01,23.529198,23.546418,23.121640,23.443093,2475400
2010-07-02,23.477533,23.741583,23.230703,23.643998,2153400
2010-07-06,23.919535,24.298392,23.718628,24.120444,2452200
2010-07-07,24.774832,24.797793,24.045822,24.057303,2159500
2010-07-08,25.021666,25.061847,24.705953,24.855198,1565400
2010-07-09,25.113501,25.124981,24.797788,24.803528,737200
2010-07-12,24.941290,25.061834,24.820746,24.855186,2422900
