window,train_size,best_capacity,train_sharpe,test_sharpe,test_baseline_sharpe
1,180,0.15000000000000002,5.46386938663428,0.0,0.28198168785793887
2,240,0.2,4.282207096333678,0.16259468416244505,0.8240491027603776
3,300,0.45,2.9627357703581083,0.45603075177512975,-1.3036795618658856
4,360,0.4,2.990463976651209,1.088871238410514,2.2175290467655278
5,420,0.05,3.4703362207246866,0.0,0.5178709939902448
6,480,0.05,3.0701665585307887,0.0,0.8020287607646186
7,540,0.05,2.9243297249577833,0.0,3.4697070715867775
8,600,0.55,2.5194625708192455,4.070273827331375,1.313839362917563
9,660,0.55,2.515744695055198,6.749246460012126,2.3612380052697315
10,720,0.45,2.678368284824754,8.8554882214393,2.88608332468523
11,780,0.5,2.9751516040581816,2.4468817764219875,2.624495567096368
12,840,0.4,2.7988260828929215,2.555488637025739,-0.07319223469486673
13,900,0.4,2.8580928360482156,0.14404788987434705,-0.01441977832297794
14,960,0.05,3.663886409255289,0.0,1.5696450094878784
15,1020,0.05,3.4232216000393247,0.0,2.3055447361412584
16,1080,0.1,2.9427734080731267,0.0,1.4384565438472083
17,1140,0.1,2.8677887260874737,0.0,-1.1816007573471448
