window,train_start,train_end,test_start,test_end,best_capacity,train_sharpe,test_sharpe,test_return,test_baseline_sharpe,test_baseline_return,sharpe_advantage
1,2022-02-22 00:00:00+00:00,2022-08-20 00:00:00+00:00,2022-08-21 00:00:00+00:00,2022-09-19 00:00:00+00:00,0.1,7.140815893109681,0.0,0.0,-3.852394269386995,-0.18148630155230794,3.852394269386995
2,2022-03-24 00:00:00+00:00,2022-09-19 00:00:00+00:00,2022-09-20 00:00:00+00:00,2022-10-19 00:00:00+00:00,0.25,3.5800857726101216,0.0,0.0,-1.450662752257141,-0.017021929478639897,1.450662752257141
3,2022-04-23 00:00:00+00:00,2022-10-19 00:00:00+00:00,2022-10-20 00:00:00+00:00,2022-11-18 00:00:00+00:00,0.25,4.1116825687043885,0.0,0.0,0.2656811278719403,-0.003699765738328864,-0.2656811278719403
4,2022-05-23 00:00:00+00:00,2022-11-18 00:00:00+00:00,2022-11-19 00:00:00+00:00,2022-12-18 00:00:00+00:00,0.25,2.620290835804348,0.0,0.0,-0.0851297658328131,-0.003934212250327751,0.0851297658328131
5,2022-06-22 00:00:00+00:00,2022-12-18 00:00:00+00:00,2022-12-19 00:00:00+00:00,2023-01-17 00:00:00+00:00,0.1,4.324975990209562,0.0,0.0,7.225538254333355,0.24707391356645503,-7.225538254333355
6,2022-07-22 00:00:00+00:00,2023-01-17 00:00:00+00:00,2023-01-18 00:00:00+00:00,2023-02-16 00:00:00+00:00,0.35000000000000003,2.9154787818200085,-5.291502622129182,-0.02912601900348033,0.03300482605862154,-0.004955655681104121,-5.324507448187804
7,2022-08-21 00:00:00+00:00,2023-02-16 00:00:00+00:00,2023-02-17 00:00:00+00:00,2023-03-18 00:00:00+00:00,0.1,4.879339897476479,0.0,0.0,-0.1861950023883859,-0.024475968730287456,0.1861950023883859
8,2022-09-20 00:00:00+00:00,2023-03-18 00:00:00+00:00,2023-03-19 00:00:00+00:00,2023-04-17 00:00:00+00:00,0.4,4.207772216986876,6.144714515861272,0.0626781391845681,2.3816660183260323,0.048903593456187,3.76304849753524
9,2022-10-20 00:00:00+00:00,2023-04-17 00:00:00+00:00,2023-04-18 00:00:00+00:00,2023-05-17 00:00:00+00:00,0.4,4.635209406227673,5.302306804747271,0.029135283138099988,-2.2874392748216015,-0.03444388005357191,7.589746079568872
10,2022-11-19 00:00:00+00:00,2023-05-17 00:00:00+00:00,2023-05-18 00:00:00+00:00,2023-06-16 00:00:00+00:00,0.8,4.003068037267552,-0.3776897000007411,-0.016696667528817155,-0.6689509606567828,-0.02252876908403001,0.29126126065604174
11,2022-12-19 00:00:00+00:00,2023-06-16 00:00:00+00:00,2023-06-17 00:00:00+00:00,2023-07-16 00:00:00+00:00,0.9,3.6891531758247447,-0.07451725840804851,-0.003479150880530635,-0.9455684835074643,-0.020054739941117394,0.8710512250994158
12,2023-01-18 00:00:00+00:00,2023-07-16 00:00:00+00:00,2023-07-17 00:00:00+00:00,2023-08-15 00:00:00+00:00,0.1,6.795975827468586,0.0,0.0,-3.9699383926352376,-0.032409791072494976,3.9699383926352376
13,2023-02-17 00:00:00+00:00,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,2023-09-14 00:00:00+00:00,0.1,5.039777408087469,0.0,0.0,-1.3093388258422631,-0.022459846045641996,1.3093388258422631
14,2023-03-19 00:00:00+00:00,2023-09-14 00:00:00+00:00,2023-09-15 00:00:00+00:00,2023-10-14 00:00:00+00:00,0.15000000000000002,2.351896037510755,0.0,0.0,-2.4910978331116116,-0.03126342744623767,2.4910978331116116
15,2023-04-18 00:00:00+00:00,2023-10-14 00:00:00+00:00,2023-10-15 00:00:00+00:00,2023-11-13 00:00:00+00:00,0.1,2.1939099555611006,0.0,0.0,3.123760902683785,0.04372317638601153,-3.123760902683785
16,2023-05-18 00:00:00+00:00,2023-11-13 00:00:00+00:00,2023-11-14 00:00:00+00:00,2023-12-13 00:00:00+00:00,0.15000000000000002,6.427788750680555,0.0,0.0,2.505360681103111,0.0854060962754486,-2.505360681103111
17,2023-06-17 00:00:00+00:00,2023-12-13 00:00:00+00:00,2023-12-14 00:00:00+00:00,2024-01-12 00:00:00+00:00,0.2,6.761057872301632,0.0,0.0,-0.5773814949435472,-0.030724455566132236,0.5773814949435472
18,2023-07-17 00:00:00+00:00,2024-01-12 00:00:00+00:00,2024-01-13 00:00:00+00:00,2024-02-11 00:00:00+00:00,0.1,8.915889601542599,0.0,0.0,6.646161674134272,0.13298901088114845,-6.646161674134272
19,2023-08-16 00:00:00+00:00,2024-02-11 00:00:00+00:00,2024-02-12 00:00:00+00:00,2024-03-12 00:00:00+00:00,0.30000000000000004,5.371326560049835,0.0,0.0,3.3748947425702345,0.14364324249996985,-3.3748947425702345
20,2023-09-15 00:00:00+00:00,2024-03-12 00:00:00+00:00,2024-03-13 00:00:00+00:00,2024-04-11 00:00:00+00:00,0.1,10.076779675677585,0.0,0.0,-0.9137537589501317,-0.03370263571339094,0.9137537589501317
21,2023-10-15 00:00:00+00:00,2024-04-11 00:00:00+00:00,2024-04-12 00:00:00+00:00,2024-05-11 00:00:00+00:00,0.1,10.698763551479512,0.0,0.0,0.02392083053429851,-0.003577546441314694,-0.02392083053429851
22,2023-11-14 00:00:00+00:00,2024-05-11 00:00:00+00:00,2024-05-12 00:00:00+00:00,2024-06-10 00:00:00+00:00,0.1,5.941681399217179,0.0,0.0,-1.3582462679550629,-0.019026876539516735,1.3582462679550629
